repo,description
tntim96/JSCover,JSCover is a JavaScript Code Coverage Tool that measures line - branch and function coverage
picketlink/picketlink,PicketLink is a security framework for securing Java EE applications.
tdziurko/Guava-Lessons,Various examples of usage Google Guava API.
aaberg/sql2o,sql2o is a small library - which makes it easy to convert the result of your sql-statements into objects. No resultset hacking required. Kind of like an orm - but without the sql-generation capabilities. Supports named parameters.
kabutz/javaspecialists,The Java Specialists' Newsletter Sources
crashub/crash,The shell for the Java Platform
zeromq/jeromq,Pure Java ZeroMQ 
Comcast/jrugged,A Java libary of robustness design patterns
jankotek/mapdb,MapDB provides concurrent Maps - Sets and Queues backed by disk storage or off-heap-memory. It is a fast and easy to use embedded Java database engine.
facebook/jcommon,concurrency - collections - zookeeper - stats/analytics - config - testing - etc
teiid/teiid,  Teiid is a data virtualization system that allows applications to use data from multiple - heterogenous data stores.
LiveRamp/hank,Hank is a high performance distributed key-value NoSQL database that we built and use at LiveRamp. It is designed for very large data stores that dwarf the amount of available main memory and for randomly distributed read/write workloads that far exceed the capacity of memory-based caches. More specifically - it is optimized for very low latency random read queries and for very high throughput incremental batch writes.
dreamhead/moco,Easy Setup Stub Server
oVirt/ovirt-engine,This is a mirror for http://gerrit.ovirt.org - for issues use http://bugzilla.redhat.com
membrane/service-proxy,API gateway for REST and SOAP written in Java.
aws/aws-sdk-java,The official AWS SDK for Java.
Netflix/governator,Governator is a library of extensions and utilities that enhance Google Guice to provide: classpath scanning and automatic binding - lifecycle management - configuration to field mapping - field validation and parallelized object warmup.
killbill/killbill,Open-Source Subscription Billing & Payment Platform
mkotsur/restito,Restito - mocking framework for testing rest clients
httl/httl,Hyper-Text Template Language and Engine.
Comcast/cmb,This project is no longer actively supported. It is made available as read-only. A highly available - horizontally scalable queuing and notification service compatible with AWS SQS and SNS
paulhoule/infovore,RDF-Centric Map/Reduce Framework and Freebase data conversion tool
CeON/CERMINE,Content ExtRactor and MINEr
Omertron/api-themoviedb,API for TheMovieDb.org website
junkdog/artemis-odb,A continuation of the popular Artemis ECS framework
Netflix/Hystrix,Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems - services and 3rd party libraries - stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.
bennidi/mbassador,Powerful event-bus optimized for high throughput in multi-threaded applications. Features: Sync and Async event publication - weak/strong references - event filtering - annotation driven
ron190/jsql-injection,jSQL Injection is a Java application for automatic SQL database injection.
crawljax/crawljax,Crawljax: Crawling Dynamic (JavaScript-based) Web Applications
cloudinary/cloudinary_java,Cloudinary Java Client Library
survivingwithandroid/Surviving-with-android,Source code related to the posts in the blog
zolyfarkas/spf4j,Simple performance framework for java
MutabilityDetector/MutabilityDetector,Lightweight analysis tool for detecting mutability in Java classes
barchart/barchart-udt,Java wrapper for native C++ UDT protocol.
nurkiewicz/spring-data-jdbc-repository,Spring Data JDBC generic DAO implementation
vkostyukov/la4j,Linear Algebra for Java
jprante/elasticsearch-knapsack,Knapsack plugin is an import/export tool for Elasticsearch
lviggiano/owner,Get rid of the boilerplate code in properties based configuration.
linkedin/camus,LinkedIn's previous generation Kafka to HDFS pipeline.
unidal/frameworks,Frameworks
Simmetrics/simmetrics,Similarity or Distance Metrics - e.g. Levenshtein - for Java
carrotsearch/hppc,High Performance Primitive Collections for Java
apache/jena,Mirror of Apache Jena
openxc/openxc-android,Android library for accessing vehicle data from an OpenXC vehicle interface
ThreeTen/threeten-extra,Provides additional date-time classes that complement those in JDK 8
pentaho/pentaho-platform,Pentaho BA Server Core
p6spy/p6spy,P6Spy is a framework that enables database data to be seamlessly intercepted and logged with no code changes to the application.
apache/commons-compress,Mirror of Apache Commons Compress
linkedin/databus,Source-agnostic distributed change data capture system
stanfy/enroscar,A set of Android tools that facilitate apps development
robovm/robovm,For more info see
jqno/equalsverifier,EqualsVerifier can be used in Java unit tests to verify whether the contract for the equals and hashCode methods is met.
ThreeTen/threetenbp,Backport of functionality based on JSR-310 to Java SE 6 and 7. This is NOT an implementation of JSR-310.
jMonkeyEngine/jmonkeyengine,A complete 3D game development suite written purely in Java.
jmxtrans/jmxtrans,jmxtrans
ttddyy/datasource-proxy,Provide listener framework for JDBC interactions and query executions  via proxy.
pentaho/pentaho-reporting,Java class library for generating reports.
apache/commons-net,Apache Commons Net
CamelCookbook/camel-cookbook-examples,Example source code for Apache Camel Developer's Cookbook
dandelion/dandelion-datatables,Dandelion component for DataTables
iainporter/rest-java,Building rest services in Java with Spring and Jersey
apache/cayenne,Mirror of Apache Cayenne
Netflix/ribbon,Ribbon is a Inter Process Communication (remote procedure calls) library with built in software load balancers. The primary usage model involves REST calls with various serialization scheme support.
Netflix/netflix-commons,Common utilities for Netflix OSS projects
mttkay/signpost,A light-weight client-side OAuth library for Java
forcedotcom/phoenix,
mindwind/craft-atom,A crafted and atomic component library for Java.
theborakompanioni/thymeleaf-extras-shiro,A Thymeleaf dialect for Apache Shiro tags.
owlike/genson,Genson a fast & modular Java <> Json library
apache/tomee,Mirror of Apache Tomee
codinguser/gnucash-android,Gnucash for Android mobile companion application. 
roboguice/roboguice,Google Guice on Android - version 3.0 [RETIRED]
ArcBees/Jukito,The combined power of JUnit - Guice and Mockito. Plus it sounds like a cool martial art.
bulldog2011/luxun,A high-throughput - persistent - distributed - publish-subscribe messaging system based on memory mapped file and Thrift RPC
forcedotcom/wsc,
TNG/junit-dataprovider,A TestNG like dataprovider runner for JUnit with many additional features
openMF/mifosx,NOW DEPRECATED. All development occurs on Apache Fineract (https://github.com/apache/incubator-fineract). 
mybatis/spring,Spring integration for MyBatis 3
prometheus/client_java,Prometheus instrumentation library for JVM applications
undera/jmeter-plugins,JMeter Plugins
linkedin/rest.li,Rest.li is a REST+JSON framework for building robust - scalable service architectures using dynamic discovery and simple asynchronous APIs.
mybatis/mybatis-3,MyBatis SQL mapper framework for Java
myrrix/myrrix-recommender,Stand-alone recommender system from Myrrix
bwaldvogel/mongo-java-server,Fake implementation of MongoDB in Java that speaks the wire protocol.
ktuukkan/marine-api,Java Marine API - NMEA 0183 library for Java
joelittlejohn/jsonschema2pojo,Generate Java types from JSON or JSON Schema and annotates those types for data-binding with Jackson - Gson - etc
mybatis/guice,Google Guice integration for MyBatis 3
mybatis/generator,A code generator for MyBatis.
pubnub/java,PubNub Java-based APIs for core Java - Android
LitePalFramework/LitePal,An Android library that makes developers use SQLite database extremely easy.
logstash/logstash-logback-encoder,Logback JSON encoder and appenders
OneBusAway/onebusaway-android,The official Android/Fire Phone app for OneBusAway
cattong/YiBo,A simple and fast weibo app -support Sina - Tencent - Twiiter - Netease -Soho...
sculptor/sculptor,Sculptor is a code generator that applies the concepts from Domain-Driven Design and Domain Specific Languages.
mwanji/toml4j,A Java TOML parser
alibaba/canal,阿里巴巴 MySQL binlog 增量订阅&消费组件 
alibaba/tamper,A Java Bean to Java Bean mapper that recursively copies data from one object to another
ORCID/ORCID-Source,ORCID Open Source Project
twitter/hbc,A Java HTTP client for consuming Twitter's realtime Streaming API
broadgsa/gatk-protected,Official code repository for GATK versions 1.0 through 3.7 (full licensed package). For GATK 4 code - see the https://github.com/broadinstitute/gatk repository
alibaba/druid,阿里巴巴数据库事业部出品，为监控而生的数据库连接池
alibaba/fastjson,A fast JSON parser/generator for Java.  
NineWorlds/serenity-android,And Android client for the Plex and Emby Media Servers optimized for Television displays.
58code/Argo,58.com轻量级web框架
Netflix/denominator,Portably control DNS clouds using java or bash
reficio/soap-ws,Java library - based on Spring-WS - that enables handling SOAP on a purely XML level
JnRouvignac/AutoRefactor,Eclipse plugin to automatically refactor Java code bases
JakeWharton/butterknife,Bind Android views and callbacks to fields and methods.
Netflix/karyon,The nucleus or the base container for Applications and Services built using the NetflixOSS ecosystem
togglz/togglz,Feature Flags for the Java platform
j256/ormlite-core,Core ORMLite functionality that provides a lite Java ORM in conjunction with ormlite-jdbc or ormlite-android
j256/ormlite-jdbc,ORMLite JDBC functionality that works with JDBC drivers to attach to various database types
morfologik/morfologik-stemming,Tools for finite state automata construction and dictionary-based morphological dictionaries. Includes Polish stemming dictionary.
finmath/finmath-lib,Mathematical Finance Library: Algorithms and methodologies related to mathematical finance.
camunda/camunda-bpm-platform,Flexible framework for workflow and decision automation
joel-costigliola/assertj-core,AssertJ is a library providing easy to use rich typed assertions 
joel-costigliola/assertj-examples,Examples illustrating AssertJ assertions
skylot/jadx,Dex to Java decompiler
kongchen/swagger-maven-plugin,JAX-RS & SpringMVC supported maven build plugin - helps you generate Swagger JSON and API document in build phase.
eXist-db/exist,eXist Native XML Database and Application Platform
javaswift/joss,Java library for OpenStack Storage - aka Swift
Esri/geometry-api-java,The Esri Geometry API for Java enables developers to write custom applications for analysis of spatial data.  This API is used in the Esri GIS Tools for Hadoop and other 3rd-party data processing solutions.
rackerlabs/repose,The powerful - programmable - API Middleware Platform
Esri/spatial-framework-for-hadoop,The Spatial Framework for Hadoop allows developers and data scientists to use the Hadoop data processing system for spatial data analysis.
Haehnchen/idea-php-symfony2-plugin,IntelliJ IDEA / PhpStorm Symfony Plugin
ios-driver/ios-driver,Selenium server to test native - hybrid and web apps on IOS. Join us on IRC #ios-driver on freenode
wildfly/wildfly,WildFly Application Server
concordion/concordion,Concordion is an open source framework for Java that lets you turn a plain English description of a requirement into an automated test.  Concordion is the most flexible tool for creating high-quality living documentation. It is often used with Specification by Example (SbE) and Behaviour Driven Development (BDD) processes.
OpenNMS/opennms,Enterprise-Grade Open-Source Network Management Platform
hekailiang/squirrel,squirrel-foundation is a State Machine library - which provided a lightweight - easy use - type safe and programmable state machine implementation for Java.
apache/syncope,Apache Syncope
NanoHttpd/nanohttpd,Tiny - easily embeddable HTTP server in Java.
fommil/matrix-toolkits-java,:rocket: High Performance Linear Algebra OOP
airlift/slice,Java library for efficiently working with heap and off-heap memory
mapstruct/mapstruct,An annotation processor for generating type-safe bean mappers
gwtproject/gwt,GWT Open Source Project
jpatanooga/Metronome,Suite of parallel iterative algorithms built on top of Iterative Reduce
jmxtrans/jmxtrans-agent,Java Agent based JMX metrics exporter.
sismics/reader,Free and open source feeds reader - including all major Google Reader features
arx-deidentifier/arx,ARX is a comprehensive open source data anonymization tool aiming to provide scalability and usability. It supports various anonymization techniques - methods for analyzing data quality and re-identification risks and it supports well-known privacy models - such as k-anonymity - l-diversity - t-closeness and differential privacy.
apache/tez,Mirror of Apache Tez
JabRef/jabref,Graphical Java application for managing BibTeX and biblatex (.bib) databases
DigitalPebble/storm-crawler,Scalable web crawler based on Apache Storm 
pmerienne/trident-ml,Trident-ML : A realtime online machine learning library
puniverse/quasar,Fibers - Channels and Actors for the JVM
RoboBinding/RoboBinding,A data-binding Presentation Model(MVVM) framework for the Android platform.
restx/restx,RESTX - the lightweight Java REST framework
danieldk/dictomaton,Finite state dictionaries in Java
spotify/netty-zmtp,A Netty implementation of ZMTP - the ZeroMQ Message Transport Protocol.
marschall/memoryfilesystem,An in memory implementation of a JSR-203 file system
ActiveJpa/activejpa,A simple active record pattern library in java that makes programming DAL easier
j256/simplemagic,Simple file magic number and content-type library which provides mime-type determination from files and byte arrays
apache/cloudstack,Apache Cloudstack
lindenb/jvarkit,Java utilities for Bioinformatics
jamesdbloom/mockserver,MockServer enables easy mocking of any system you integrate with via HTTP or HTTPS with clients written in Java - JavaScript and Ruby.  MockServer also includes a proxy that introspects all proxied traffic including encrypted SSL traffic and supports Port Forwarding - Web Proxying (i.e. HTTP proxy) - HTTPS Tunneling Proxying (using HTTP CONNECT) and SOCKS Proxying (i.e. dynamic port forwarding).
iansrobinson/graph-databases-use-cases,Example use cases from the O'Reilly Graph Databases book
segmentio/analytics-android,The hassle-free way to add analytics to your Android app.
openrocket/openrocket,OpenRocket simulation software
mopub/mopub-android-sdk,
dayatang/dddlib,A DDD (Domain Driven Design) Library - derived from the idea of Eric Evans' book:  'Domain-Driven Design: Tackling Complexity in the Heart of Software'
ebnew/ki4so,简约互联网单点登录系统是一个简单、无状态、易扩展、易伸缩，特别适合大型互联网应用的单点登录解决方案。
nurkiewicz/LazySeq,Lazy sequences implementation for Java 8
RIPE-NCC/whois,RIPE Database whois code repository
square/picasso,A powerful image downloading and caching library for Android
six2six/fixture-factory,Generator fake objects from a template
google/gwtmockito,Better GWT unit testing
pkainulainen/spring-mvc-test-examples,
agoncal/agoncal-application-petstore-ee7,A Java Petstore using the Java EE 7
code4craft/webmagic,A scalable web crawler framework for Java.
PCGen/pcgen,Main code and data development for pcgen program release
itisaid/Doris,A large scale distributed KV storage system.
jboss-javassist/javassist,Java bytecode engineering toolkit
jeffheaton/aifh,Artificial Intelligence for Humans
kermitt2/grobid,A machine learning software for extracting information from scholarly documents
pkainulainen/spring-data-jpa-examples,
OpenHFT/Java-Lang,Java Language support
StripesFramework/stripes,Stripes is a Java framework with the goal of making Servlet/JSP based web development in Java as easy - intuitive and straight-forward as it should be. It's stripey and it doesn't suck.
cloudera/search,
apache/deltaspike,Mirror of Apache Deltaspike
mcxiaoke/android-volley,DEPRECATED
bcgit/bc-java,Bouncy Castle Java Distribution (Mirror)
ahmetaa/zemberek-nlp,NLP tools for Turkish.
peter-lawrey/Java-Chronicle-OLD,
yegor256/rultor,DevOps Team Assistant
threadly/threadly,A library of tools to assist with safe concurrent java development.  Providing unique priority based thread pools - and ways to distrbute threaded work safely.
zeroturnaround/zt-exec,ZeroTurnaround Process Executor
JSQLParser/JSqlParser,JSqlParser parses an SQL statement and translate it into a hierarchy of Java classes. The generated hierarchy can be navigated using the Visitor Pattern
trautonen/coveralls-maven-plugin,Maven plugin for submitting Java code coverage reports to Coveralls web service.
julman99/gson-fire,A java library that adds some very useful features to Gson - like Date serializing to unix timestamp or RFC3339 - method (getters) serialization - pre/post processors and many others. Check out the documentation to learn how to use it!
groovy/GMavenPlus,A rewrite of GMaven - a Maven plugin for Groovy
sirixdb/sirix,SirixDB facilitates effective and efficient storing and querying of your temporal data. Every commit stores a space-efficient snapshot. It is log-structured and never overwrites data. SirixDB uses a novel page-level versioning approach called sliding snapshot.
peter-lawrey/HugeCollections-OLD,Huge Collections for Java using efficient off heap storage
NGDATA/hbase-indexer,Lily HBase Indexer - indexing HBase - one row at a time
twitter/hraven,hRaven collects run time data and statistics from MapReduce jobs in an easily queryable format
techtribesje/techtribesje,Source code for the techtribes.je website
keycloak/keycloak,Open Source Identity and Access Management For Modern Applications and Services
dropbox/dropbox-sdk-java,A Java library for the Dropbox Core API.
jboss-modules/jboss-modules,A Modular Classloading System
irmen/Pyrolite,Java and .NET interface to Python's pickle and Pyro protocols
Pardot/Rhombus,A time-series object store for Cassandra that handles all the complexity of building wide row indexes. 
mapstruct/mapstruct-examples,Examples for using MapStruct
SpigotMC/Spigot-API,OUTDATED - SEE https://hub.spigotmc.org/stash/projects/SPIGOT
bumptech/glide,An image loading and caching library for Android focused on smooth scrolling
opensourceBIM/BIMserver,The open source BIMserver platform
zycgit/hasor,Hasor是一套基于 Java 语言的分布式应用程序开发框架，它的核心设计目标是提供一个简单、且必要的环境给开发者。区别于其它框架的是 Hasor 有着自己一套完整的体系，无论您是一般的Web项目，还是几百人团队中复杂的分布式系统。Hasor都会给予你最有力的支持。
apache/commons-imaging,Mirror of Apache Commons Imaging
jan-molak/jenkins-build-monitor-plugin,Jenkins CI Build Monitor Plugin
johncarl81/parceler,:package: Android Parcelables made easy through code generation.
estatio/estatio,Estatio Open Source Estate Management built on Apache Isis
alibaba/cobarclient,基于iBatis和Spring的轻量级分布式数据访问框架(DDAL)
tyrus-project/tyrus,Tyrus - Reference implementation of Java API for WebSocket - JSR 356
apache/commons-csv,Mirror of Apache Commons CSV
Thomas-S-B/visualee,A maven plugin to visualize java ee projects
adamhub/screenbird,a full cross platform video screen capture tool and host. Java based screen recorder - and Django based web backend. Also included is a distributed video processing engine that uses ffmpeg across any amount of AWS instances.
tdunning/log-synth,Generates more or less realistic log data for testing simple aggregation queries.
nurkiewicz/async-retry,Asynchronous retrying for Java 7/8
graphaware/neo4j-framework,GraphAware Neo4j Framework
synyx/urlaubsverwaltung,Schluss mit Papierchaos und langweiliger Software. Wir zeigen dir - dass Urlaubsverwaltung auch Spaß machen kann.
alibaba/wasp,megastore-like system
protegeproject/webprotege,The webprotege code base
xpadro/spring-integration,Samples of different Spring Integration modules (jms - batch - integration)
owlcs/owlapi,OWL API main repository
apache/commons-dbcp,Mirror of Apache Commons DBCP
apache/commons-pool,Mirror of Apache Commons Pool
sismics/docs,Lightweight document management system packed with all the features you can expect from big expensive solutions
feuyeux/jax-rs2-guide,《Java Restful Web Service实战》源代码
kframework/k,K Framework Tools 5.0
jaeksoft/opensearchserver,Open-source Enterprise Grade Search Engine Software
mycila/license-maven-plugin,Manage license headers in your source files
apache/logging-log4j2,Mirror of Apache Logging Log4J2
google/auto,A collection of source code generators for Java.
yegor256/xembly,Assembly for XML
apache/commons-dbutils,Mirror of Apache Commons DbUtils
languagetool-org/languagetool,Style and Grammar Checker for 25+ Languages
spring-projects/spring-framework,Spring Framework
Huawei-Hadoop/hindex,Secondary Index for HBase
aerogear/aerogear-unifiedpush-server,:rocket: AeroGear UnifiedPush Server
spring-projects/spring-data-jpa,Simplifies the development of creating a JPA-based data access layer. 
futuresimple/android-db-commons,Some common utilities for ContentProvider/ContentResolver/Cursor and other db-related android stuff
spring-projects/spring-ldap,Spring LDAP
spring-projects/spring-data-mongodb,Provide support to increase developer productivity in Java when using MongoDB. Uses familiar Spring concepts such as a template classes for core API usage and lightweight repository style data access.
spring-projects/spring-hadoop,Spring for Apache Hadoop is a framework for application developers to take advantage of the features of both Hadoop and Spring.
spring-projects/spring-data-rest,Simplifies building hypermedia-driven REST web services on top of Spring Data repositories
spring-projects/spring-xd,Spring XD makes it easy to solve common big data problems such as data ingestion and export - real-time analytics - and batch workflow orchestration
spring-projects/spring-security,Spring Security
spring-projects/spring-batch,Spring Batch is a framework for writing offline and batch applications using Spring and Java
spring-projects/spring-data-commons,Spring Data Commons. Interfaces and code shared between the various datastore specific implementations.
spring-projects/spring-data-redis,Provides support to increase developer productivity in Java when using Redis - a key-value store. Uses familiar Spring concepts such as a template classes for core API usage and lightweight repository style data access.
spring-projects/spring-integration,Spring Integration provides an extension of the Spring programming model to support the well-known Enterprise Integration Patterns (EIP)
spring-projects/spring-data-elasticsearch,Provide support to increase developer productivity in Java when using Elasticsearch. Uses familiar Spring concepts such as a template classes for core API usage and lightweight repository style data access.
spring-projects/spring-boot,Spring Boot
spring-projects/spring-data-couchbase,Spring Data Couchbase
spring-projects/spring-data-solr,Spring Data - Apache Solr integration
spring-projects/spring-social,Allows you to connect your applications with SaaS providers such as Facebook and Twitter.
spring-projects/spring-social-facebook,Facebook API binding and connect support.
spring-projects/spring-data-neo4j,Provides support to increase developer productivity in Java when using the neo4j graph database. Uses familiar Spring concepts such as a template classes for core API usage and provides an annotation based programming model using AspectJ
spring-projects/spring-mobile,Extensions to Spring MVC for developing mobile web applications.
spring-projects/spring-roo,Spring Roo is a next-generation rapid application development tool for Java developers. It focuses on higher productivity - stock-standard Java APIs - high usability - avoiding engineering trade-offs and facilitating easy Roo removal.
spring-projects/spring-loaded,Java agent that enables class reloading in a running JVM
spring-projects/spring-shell,Spring based interactive shell
spring-projects/spring-ws,Spring Web Services
spring-projects/spring-hateoas,Spring HATEOAS - Library to support implementing representations for hyper-text driven REST web services.
spring-projects/spring-security-oauth,Support for adding OAuth1(a) and OAuth2 features (consumer and provider) for Spring web applications.
spring-projects/spring-amqp,Spring AMQP - support for Spring programming model with AMQP - especially but not limited to RabbitMQ
spring-projects/spring-webflow,Spring Web Flow
spring-projects/spring-security-saml,SAML extension for the Spring Security project
spring-projects/spring-retry,
ymartineau/peers,Java SIP softphone
relayrides/pushy,A Java library for sending APNs (iOS/macOS/Safari) push notifications
alibaba/otter,阿里巴巴分布式数据库同步系统(解决中美异地机房)
rackerlabs/blueflood,A distributed system designed to ingest and process time series data
protegeproject/protege,Protege Desktop
nmorel/gwt-jackson,gwt-jackson is a JSON parser for GWT. It uses Jackson 2.x annotations to customize the serialization/deserialization process.
FasterXML/jackson-datatype-hibernate,Add-on module for Jackson JSON processor which handles Hibernate (http://www.hibernate.org/) datatypes; and specifically aspects of lazy-loading
google/compile-testing,Testing tools for javac and annotation processors
ustream/yolo,Log tailing and parsing framework in Java
code4craft/jsoup-learning,Jsoup学习笔记。添加了部分学习代码和注释。
selendroid/selendroid,"Selenium for Android" (Test automate native or hybrid Android apps and the mobile web with Selendroid.) Join us on IRC #selendroid on freenode. Also confirm you have signed the CLA http://goo.gl/pAvxEI when making a Pull Request.
alibaba/jstorm,Enterprise Stream Process Engine
ical4j/ical4j,A Java library for parsing and building iCalendar data models
spring-projects/spring-integration-samples,You are looking for examples - code snippets - sample applications for Spring Integration? This is the place.
jcabi/jcabi-aspects,Collection of AOP/AspectJ Java Aspects
spring-projects/spring-security-javaconfig,Spring Security Java Configuration Support (to be merged with spring-security-config)
spring-projects/spring-xd-samples,Sample starter applications and code for use with the Spring XD project
spring-projects/spring-ide,Spring Development Environment for Eclipse
javamonkey/beetl2.0,beetl2.0
spring-projects/spring-data-book,Spring Data - The Definitive Guide - Modern Data Access for Enterprise Java Developers
spring-projects/eclipse-integration-gradle,Gradle Tooling for Eclipse
usb4java/usb4java,USB library for Java based on libusb
maven-nar/nar-maven-plugin,Native ARchive plugin for Maven
bechte/junit-hierarchicalcontextrunner,This is a runner implementation that supports context hierarchies in JUnit. For more details please visit: https://github.com/bechte/junit-hierarchicalcontextrunner/wiki
dropwizard/dropwizard,A damn simple library for building production-ready RESTful web services.
jdereg/java-util,Rarely available and hard-to-write Java utilities - written correctly - and thoroughly tested
knowitall/reverb,Web-Scale Open Information Extraction
percyliang/sempre,Semantic Parser with Execution
spring-projects/spring-integration-extensions,The Spring Integration Extensions project provides extension components for Spring Integration
codelibs/fess,Fess is very powerful and easily deployable Enterprise Search Server.
rometools/rome,Java library for RSS and Atom feeds
code4craft/netty-learning,Netty learning.
torakiki/sejda,An extendible and configurable PDF manipulation layer library written in java.
spring-projects/greenhouse,Reference web application for Spring technologies and social destination for Spring developers.
torakiki/pdfsam,PDFsam - a desktop application to extract pages - split - merge - mix and rotate PDF files
alibaba/asyncload,阿里巴巴异步并行加载工具(依赖字节码技术)
AdoptOpenJDK/jitwatch,Log analyser / visualiser for Java HotSpot JIT compiler. Inspect inlining decisions - hot methods - bytecode - and assembly. View results in the JavaFX user interface.
pkainulainen/spring-social-examples,
Norconex/collector-http,Norconex HTTP Collector is a flexible web crawler for collecting - parsing - and manipulating data from the Internet (or Intranet) to various data repositories such as search engines.
Cetsoft/imcache,Imcache is a Java Caching Library.
siom79/japicmp,Comparison of two versions of a jar archive
OpenHFT/Java-Thread-Affinity,Bind a java thread to a given core
michel-kraemer/gradle-download-task,Adds a download task to Gradle that displays progress information
novoda/spikes,Where ideas & concepts are born & incubated
indeedeng/proctor,Proctor is a Java-based A/B testing framework developed by - and used heavily within - Indeed.
indeedeng/util,Useful Java utilities
spring-projects/spring-data-cassandra,Provides support to increase developer productivity in Java when using Apache Cassandra.  Uses familiar Spring concepts such as a template classes for core API usage and lightweight repository style data access.
Adobe-Consulting-Services/acs-aem-commons,
mp911de/logstash-gelf,Graylog Extended Log Format (GELF) implementation in Java for all major logging frameworks: log4j - log4j2 - java.util.logging - logback - JBossAS7 and WildFly 8-12
pentaho/pentaho-kettle,Pentaho Data Integration ( ETL ) a.k.a Kettle
katjahahn/PortEx,Java library to analyse Portable Executable files with a special focus on malware analysis and PE malformation robustness
kuujo/vertigo,Flow-based programming for the Vert.x application platform.
cinchapi/concourse,Distributed database warehouse for transactions - search and analytics across time.
sarahtattersall/PIPE,PIPE - Platform Independent Petri Net Editor
ivan-vasilev/neuralnetworks,java deep learning algorithms and deep neural networks with gpu acceleration
JavaMoney/jsr354-api,JSR 354 - Money and Currency API
IanDarwin/javasrc,Ian's Collected code examples from the O'Reilly Java Cookbook & elsewhere
emilsjolander/sprinkles,Sprinkles is a boiler-plate-reduction-library for dealing with databases in android applications
pires/obd-java-api,OBD-II Java API
umple/umple,Umple: Model-Oriented Programming - embed models in code and vice versa and generate complete systems
sannies/mp4parser,A Java API to read - write and create MP4 files
ggp-org/ggp-base,The General Game Playing Base Package
stratosphere/stratosphere,Stratosphere is now Apache Flink.
caelum/vraptor4,A web MVC action-based framework - on top of CDI - for fast and maintainable Java development.
jpush/jpush-api-java-client,JiGuang's officially supported Java client library for accessing JPush APIs.   极光官方支持的 Java 版本服务器端 SDK。
jhalterman/lyra,High availability RabbitMQ client
vladmihalcea/vladmihalcea.wordpress.com,Some of the source code for vladmihalcea.com. The hibernate-master-class and the high-performance-java-persistence are used as blog source code repos as well.
MenoData/Time4J,Advanced date - time and interval library for Java with sun/moon-astronomy and calendars like Chinese - Coptic - Ethiopian - French Republican - Hebrew - Hijri - Historic Christian - Indian National - Japanese - Julian - Korean - Minguo - Persian - Thai - Vietnamese
FINRAOS/DataGenerator,DataGenerator is a Java library for systematically producing large volumes of data. DataGenerator frames data production as a modeling problem - with a user providing a model of dependencies among variables and the library traversing the model to produce relevant data sets. 
freedomotic/freedomotic,Open IoT Framework
brettwooldridge/HikariCP,光 HikariCP・A solid - high-performance - JDBC connection pool at last.
JavaMoney/jsr354-ri,JSR 354 - Moneta: Reference Implementation
apache/commons-beanutils,Apache Commons Beanutils
briandilley/jsonrpc4j,JSON-RPC for Java
strongbox/strongbox,Strongbox is an artifact repository manager.
addthis/stream-lib,Stream summarizer and cardinality estimator.
cloudfoundry/cf-java-client,Java Client Library for Cloud Foundry
yxjiang/algorithms,
bingoohuang/eql,an easy jdbc sql framework of an alternative to ibatis
wikimedia/apps-android-wikipedia, 📱The official Wikipedia app for Android!
serso/android-messengerpp,Multi-protocol open source instant messaging client on Android
jcabi/jcabi-github,Object Oriented Wrapper of Github API
sentilo/sentilo,Sentilo platform
asciidoctor/asciidoctorj,:coffee: Java bindings for Asciidoctor. Asciidoctor on the JVM!
jnode/jnode,Code for the JNode operating system
bitcoinj/bitcoinj,A library for working with Bitcoin
phishman3579/java-algorithms-implementation,Algorithms and Data Structures implemented in Java
tdunning/t-digest,A new data structure for accurate on-line accumulation of rank-based statistics such as quantiles and trimmed means
HubSpot/Singularity,Scheduler (HTTP API and webapp) for running Mesos tasks—long running processes - one-off tasks - and scheduled jobs. #hubspot-open-source
opentripplanner/OpenTripPlanner,An open source multi-modal trip planner
klarna/HiveRunner,An Open Source unit test framework for Hive queries based on JUnit 4 and 5
raphw/byte-buddy,Runtime code generation for the Java virtual machine.
mpetazzoni/ttorrent,BitTorrent Java library with tracker and download client
path/android-priority-jobqueue,A Job Queue specifically written for Android to easily schedule jobs (tasks) that run in the background - improving UX and application stability.
liveoak-io/liveoak,
javaee-samples/javaee7-samples,Java EE 7 Samples
HotswapProjects/HotswapAgent,Java unlimited redefinition of classes at runtime.
copper-engine/copper-engine,COPPER - a high performance Java workflow engine
galenframework/galen,Layout and functional testing framework for websites
kite-sdk/kite,Kite SDK
Netflix/zeno,Netflix's In-Memory Data Propagation Framework
jhipster/jhipster-sample-app,This is a sample application created with JHipster
atinfo/at.info-knowledge-base,http://automated-testing.info knowledge base on test automation examples
Netflix/suro,Netflix's distributed Data Pipeline
denimgroup/threadfix,ThreadFix is a software vulnerability management platform. This GitHub site is far out of date. Please go to www.threadfix.it for up-to-date information.
real-logic/simple-binary-encoding,Simple Binary Encoding (SBE) - High Performance Message Codec
itext/itextpdf,[DEPRECATED] Core Java Library + PDF/A - xtra and XML Worker. Only security fixes will be added — please use iText 7
flaxsearch/luwak,A java library for stored queries
Netflix/staash,A language-agnostic as well as storage-agnostic web interface for storing data into persistent storage systems - the metadata layer abstracts a lot of storage details and the pattern automation APIs take care of automating common data access patterns.
