repo,description
k9mail/k-9,K-9 Mail – An Email app for Android
apache/hive,Apache Hive
rhuss/jolokia,JMX on Capsaicin
bndtools/bnd,Bnd/Bndtools.  Tooling to build OSGi bundles including Eclipse - Maven - and Gradle plugins.
notnoop/java-apns,Java Apple Push Notification Service Provider
caelum/vraptor,Simple Java Web MVC Framework
apache/hbase,Mirror of Apache HBase
apache/avro,Apache Avro
eclipse/jgit,JGit project repository (jgit)
mendhak/gpslogger,:satellite: Lightweight GPS Logging Application For Android. Available on the Android Market as "GPSLogger for Android"
FluentLenium/FluentLenium,FluentLenium is a website & mobile automation framework which extends Selenium to write reliable and resilient UI functional tests. This framework is React ready. Written and maintained by people who are automating browser-based tests on a daily basis.
cbeust/testng,TestNG testing framework
weld/core,Weld - including integrations for Servlet containers and Java SE - examples and documentation
zxing/zxing,ZXing ("Zebra Crossing") barcode scanning library for Java - Android
bguerout/jongo,Query in Java as in Mongo shell
scobal/seyren,An alerting dashboard for Graphite
BaseXdb/basex,BaseX Main Repository.
JPMoresmau/eclipsefp,EclipseFP - the Haskell plug-in for Eclipse
BroadleafCommerce/BroadleafCommerce,Broadleaf Commerce - Enterprise eCommerce framework based on Spring
liferay/liferay-ide,
thucydides-webtests/thucydides,Thucydides is a tool that lets you use WebDriver-based unit or BDD tests to write more flexible and more reusable WebDriver-based tests - and also to generate documentation about your acceptance tests - including a narrative description of test - along with the corresponding screen shots - and also high-level summaries and aggregations of the test results
jknack/handlebars.java,Logic-less and semantic Mustache templates with Java
jberkel/sms-backup-plus,Backup Android SMS - MMS and call log to Gmail / Gcal / IMAP
geogebra/geogebra,GeoGebra apps (mirror)
cloudfoundry/uaa,CloudFoundry User Account and Authentication (UAA) Server
mitreid-connect/OpenID-Connect-Java-Spring-Server,An OpenID Connect reference implementation in Java on the Spring platform.
nasa/mct,Open MCT has moved to https://github.com/nasa/openmct and is now a web application. The desktop version is retained here for posterity.
tcurdt/jdeb,This library provides an Ant task and a Maven plugin to create Debian packages from Java builds in a truly cross platform manner.
hazelcast/hazelcast,Open Source In-Memory Data Grid
jbosstm/narayana,The codebase for the narayana project
broadgsa/gatk,Official code repository for GATK versions 1.0 through 3.7 (core engine). For GATK 4 code - see the https://github.com/broadinstitute/gatk repository
ops4j/org.ops4j.pax.web,OSGi R4 Http Service and Web Applications (OSGi Enterprise Release chapter 128) implementation using Jetty 9 or Tomcat 8.
stapler/stapler,Stapler web framework
OneBusAway/onebusaway-application-modules,The core OneBusAway application suite.
jersey/jersey,This is no longer the active Jersey repository. Please see the README.md
square/retrofit,Type-safe HTTP client for Android and Java by Square - Inc.
Netflix/Priam,Co-Process for backup/recovery - Token Management - and Centralized Configuration management for Cassandra.
eclipse/jetty.project,Eclipse Jetty® - Web Container & Clients - supports HTTP/2 - HTTP/1.1 - HTTP/1.0 - websocket - servlets - and more
alexruiz/fest-assert-2.x,FEST Fluent Assertions 2.x
Netflix/astyanax,Cassandra Java Client
cloudera/crunch,Crunch is an Apache TLP now - and lives at http://crunch.apache.org/
goldmansachs/gs-collections,GS Collections has been migrated to the Eclipse Foundation - re-branded as Eclipse Collections.  https://www.eclipse.org/collections/
Netflix/archaius,Library for configuration management API
basho/riak-java-client,The Riak client for Java.
jitlogic/zorka,Sophisticated monitoring agent for Java
nutzam/nutzmore,让Nutz更好用
CloudifySource/cloudify,Cloud-enablement platform that on-boards applications to public and private clouds without architectural or code changes
Mach5/supersonic,Open-source web-based media streamer and jukebox fork of Subsonic. Supports MP3 - OGG - AAC and other streamable audio and video formats. Runs on Windows - GNU/Linux and Mac using Java.
errai/errai,Errai
commonsguy/cw-omnibus,Source code to omnibus edition of _The Busy Coder's Guide to Android Development_
hibernate/hibernate-orm,Hibernate's core Object/Relational Mapping functionality
mongodb/mongo-hadoop,MongoDB Connector for Hadoop
jingwei/krati,A hash-based high-performance data store
zeroturnaround/zt-zip,ZeroTurnaround ZIP Library
twilio/twilio-java,A Java library for communicating with the Twilio REST API and generating TwiML.
apavlo/h-store,H-Store Distributed Main Memory OLTP Database System
detro/ghostdriver,Ghost Driver is an implementation of the Remote WebDriver Wire protocol - using PhantomJS as back-end
tinkerpop/rexster,A Graph Server (no longer active - see Apache TinkerPop)
ralscha/extdirectspring,Implementation of the Ext Direct protocol with Java and Spring
JetBrains/MPS,JetBrains Meta programming System
gitblit/gitblit,pure java git solution
resteasy/Resteasy,REST and JAXRS
webx/citrus,Java-based Web Framework for Alibaba Group
nodebox/nodebox,Node-based data application for visualization and generative design
Unidata/thredds,Thredds and netCDF-Java (CDM)
winder/Universal-G-Code-Sender,A Java based GRBL compatible cross-platform G-Code sender.
graphstream/gs-core,Graphstream core
openmrs/openmrs-core,OpenMRS API and web application code
msgpack/msgpack-java,MessagePack serializer implementation for Java / msgpack.org[Java]
AxonFramework/AxonFramework,Framework for Evolutionary Event-Driven Microservices on the JVM
searchbox-io/Jest,Elasticsearch Java Rest Client.
tinkerpop/blueprints,A Property Graph Model Interface (no longer active - see Apache TinkerPop)
jankotek/JDBM3,Embedded Key Value Java Database
cloudera/flume,WE HAVE MOVED to Apache Incubator. https://cwiki.apache.org/FLUME/ .   Flume is a distributed - reliable - and available service for efficiently collecting - aggregating - and moving large amounts of log data. It has a simple and flexible architecture based on streaming data flows. It is robust and fault tolerant with tunable reliability mechanisms and many failover and recovery mechanisms. The system is centrally managed and allows for intelligent dynamic management. It uses a simple extensible data model that allows for online analytic applications.
johncarl81/transfuse,:syringe: Transfuse - A Dependency Injection and Integration framework for Google Android
helloworld1/AnyMemo,Advanced Spaced Repetition flashcard learning software for Android.
apache/activemq,Mirror of Apache ActiveMQ
apache/nutch,Apache Nutch
ocpsoft/rewrite,OCPsoft URL-Rewriting Framework
puniverse/galaxy,A cache-coherent in-memory data grid
adyliu/jafka,a fast and simple distributed publish-subscribe messaging system (mq)
peter-lawrey/Java-Chronicle,Java Indexed Record Chronicle
DSpace/DSpace,(Official) The DSpace digital asset management system that powers your Institutional Repository
nroduit/Weasis,Weasis is a DICOM viewer available as a desktop application  or as a web-based application.
FasterXML/jackson-core,Core part of Jackson that defines Streaming API as well as basic shared abstractions
FasterXML/jackson-databind,General data-binding package for Jackson (2.x): works on streaming API (core) implementation(s)
wala/WALA,T.J. Watson Libraries for Analysis
tordanik/OSM2World,converter that creates three-dimensional models of the world from OpenStreetMap data
hunterhacker/jdom,Java manipulation of XML made easy
jOOQ/jOOQ,jOOQ is the best way to write SQL in Java
carrot2/carrot2,Carrot2: Text Clustering Algorithms and Applications
qcadoo/mes,qcadoo MES - friendly web manufacturing software
jtalks-org/jcommune,JTalks JCommune - a forum engine
cdk/cdk,The Chemistry Development Kit
ryantenney/metrics-spring,Spring integration for Metrics
richardwilly98/elasticsearch-river-mongodb,MongoDB River Plugin for ElasticSearch
xebialabs/overthere,Runs something "Over there"
eclipse/paho.mqtt.java,Eclipse Paho Java MQTT client library.  Paho is an Eclipse IoT project.
apache/mahout,Mirror of Apache Mahout
xwiki/xwiki-platform,The XWiki platform
docdoku/docdoku-plm,The project purpose is to develop a comprehensive - robust open source PLM (Product LifeCycle Management) solution.
bartdag/py4j,Py4J enables Python programs to dynamically access arbitrary Java objects
nuxeo/nuxeo,Content management platform to build modern business applications
sirthias/parboiled,Elegant parsing in Java and Scala - lightweight - easy-to-use - powerful.
javalite/activejdbc,JavaLite is a cohesive collection of frameworks designed from ground up to add pleasure back to your daily life
jenkinsci/ec2-plugin,Jenkins ec2 plugin
ocpsoft/prettytime,Social Style Date and Time Formatting for Java
apache/wicket,Apache Wicket - Component-based Java web framework
OpenGamma/OG-Platform,Strata is the new open source analytics and market risk library from OpenGamma
4thline/cling,UPnP/DLNA library for Java and Android
urbanairship/datacube,Multidimensional data storage with rollups for numerical data
lintool/Cloud9,Cloud9 is a Hadoop toolkit for working with big data
AxonFramework/Axon-trader,A sample to use the axon framework for a trading application
SomMeri/less4j,Less language is an extension of css and less4j compiles it into regular css. Less adds several dynamic features into css: variables - expressions - nested rules - and so on. Less was designed to be compatible with css and any correct css file is also correct less file.
marubinotto/Piggydb,Piggydb is a Web notebook application that provides you with a platform to build your knowledge personally or collaboratively. 
jpos/jPOS,jPOS Project
metawidget/metawidget,Metawidget is a smart User Interface widget that populates itself - either statically or at runtime - with UI components to match the properties of your business objects. 
foursquare/heapaudit,
sachin-handiekar/jInstagram,A Java library for the Instagram API.
vmi/selenese-runner-java,Selenium IDE native format (selenese and side) interpreter.
maxcom/lorsource,Linux.org.ru website engine
tinkerpop/pipes,A Lazy Data Flow Framework (no longer active - see Apache TinkerPop)
tamingtext/book,Taming Text Book Source Code
martint/jmxutils,Exporting JMX mbeans made easy
apache/commons-math,Apache Commons Math
qiniu/java-sdk,Qiniu Resource (Cloud) Storage SDK for Java
apache/oozie,Mirror of Apache Oozie
dcm4che/dcm4che,DICOM Implementation in JAVA
okleine/nCoAP,Java implementation of the CoAP protocol using netty
arquillian/arquillian-core,Arquillian provides a component model for integration tests - which includes dependency injection and container life cycle management. Instead of managing a runtime in your test - Arquillian brings your test to the runtime.
jenkinsci/jacoco-plugin,Jenkins JaCoCo Plugin
